Frame,Real_EAR,Fake_EAR
0,0.11566911762934179,0.2504428581391924
1,0.35286440459489266,0.3561728686204513
2,0.1503977945361809,0.2743396578840859
3,0.35666667121347084,0.34880037846985934
4,0.16799414140593222,0.2733040833050606
5,0.3340989494096802,0.3561728686204513
6,0.19733297212317216,0.26957935762633034
7,0.3844331055420533,0.3695617484332943
8,0.205592785505704,0.27733024983800797
9,0.3182551706309814,0.3981322776161519
10,0.19489761610677597,0.29061806822925396
11,0.34880037846985934,0.4005855088619994
12,0.2220511503561569,0.27485784789435286
13,0.3492438367365343,0.36025720754920854
14,0.20856446875852713,0.29150476453558666
15,0.3521990639961986,0.3506030068090634
16,0.22217670243816812,0.2788636705586732
17,0.30982905982905984,0.3386491206051011
18,0.19043248545412206,0.26629109249981237
19,0.33590780047679863,0.3701076534042955
20,0.11722620186111157,0.2300192644068554
21,0.33590780047679863,0.3060149669606078
22,0.09888382404031933,0.20827319825607504
23,0.33177484958826475,0.3146569563082038
24,0.11126556757346934,0.2132409249489676
25,0.32866331749273425,0.33444336082380843
26,0.1423910871717427,0.25037184617676334
27,0.3154080457842618,0.3396463530606477
28,0.1587968424197247,0.2707866380689641
29,0.3390885039643148,0.3396463530606477
30,0.17689939571950053,0.28564220874905666
31,0.3129087934831517,0.33726697054932775
32,0.19524337247316342,0.28657621583270837
33,0.34880037846985934,0.3396463530606477
34,0.20251372626440484,0.27834514397986515
35,0.3212220759379306,0.35097783538739313
36,0.20380684981717495,0.28738865772407635
37,0.3390885039643148,0.33590780047679863
38,0.19087733274044225,0.2870254995465717
39,0.2991117057692879,0.30948919277155
40,0.08197547073987399,0.19224957874929843
41,0.31901266422505437,0.33444336082380843
42,0.09428385518075988,0.2
43,0.3692610860167277,0.36309124558995276
44,0.11759948022071184,0.2022254918521097
45,0.34586305214969304,0.3310237601122067
46,0.13145449658250935,0.2664370977210354
47,0.3492617376760323,0.3310237601122067
48,0.1516845075467536,0.25390418555471705
49,0.3216359552178227,0.3779756626111688
50,0.164146114379198,0.26756766403636834
51,0.35264252226287357,0.350197884833391
52,0.18357388553010517,0.2986339832424964
53,0.3475970508005519,0.350197884833391
54,0.18615325060947024,0.26246632664929503
55,0.34544157011795606,0.3766164925386396
